Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2018-05-04,04 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,-Rp150
2018-05-05,,,,,
2018-05-06,,,,,
2018-05-07,07 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,
2018-05-08,08 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-09,09 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-10,,,,,
2018-05-11,11 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,
2018-05-12,,,,,
2018-05-13,,,,,
2018-05-14,14 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-15,15 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-16,16 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-17,17 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-18,18 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-19,,,,,
2018-05-20,,,,,
2018-05-21,21 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-22,22 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-23,23 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-24,24 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-25,25 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-26,,,,,
2018-05-27,,,,,
2018-05-28,28 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-05-29,,,,,
2018-05-30,30 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,
2018-05-31,31 Mei 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-01,,,,,
2018-06-02,,,,,
2018-06-03,,,,,
2018-06-04,04 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-05,05 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-06,06 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-07,07 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-08,08 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-09,,,,,
2018-06-10,,,,,
2018-06-11,11 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-12,12 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-13,13 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11250.0,Rp0
2018-06-14,,,,,
2018-06-15,,,,,
2018-06-16,,,,,
2018-06-17,,,,,
2018-06-18,18 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,-Rp100
2018-06-19,19 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2018-06-20,20 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2018-06-21,21 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2018-06-22,22 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2018-06-23,,,,,
2018-06-24,,,,,
2018-06-25,25 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,
2018-06-26,26 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2018-06-27,,,,,
2018-06-28,28 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2018-06-29,29 Jun 18,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2018-06-30,,,,,
2018-07-01,,,,,
2018-07-02,02 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,-Rp150
2018-07-03,03 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-04,04 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-05,05 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-06,06 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-07,,,,,
2018-07-08,,,,,
2018-07-09,09 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-10,10 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-11,11 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-12,12 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-13,13 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-14,,,,,
2018-07-15,,,,,
2018-07-16,16 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
2018-07-17,17 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-18,18 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-19,19 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-20,20 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-21,,,,,
2018-07-22,,,,,
2018-07-23,23 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-24,24 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-25,25 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-26,26 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-27,27 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-28,,,,,
2018-07-29,,,,,
2018-07-30,30 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-07-31,31 Jul 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-01,01 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-02,02 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-03,03 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-04,,,,,
2018-08-05,,,,,
2018-08-06,06 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-07,07 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-08,08 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-09,09 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-10,10 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-11,,,,,
2018-08-12,,,,,
2018-08-13,13 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-14,14 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-15,15 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-16,16 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-17,,,,,
2018-08-18,,,,,
2018-08-19,,,,,
2018-08-20,20 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
2018-08-21,21 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-22,,,,,
2018-08-23,23 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
2018-08-24,24 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-25,,,,,
2018-08-26,,,,,
2018-08-27,27 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
