tanggal,harga_beras
2022-05-31,11150.0
2022-06-01,11150.0
2022-06-02,11150.0
2022-06-03,11150.0
2022-06-04,11150.0
2022-06-05,11150.0
2022-06-06,11150.0
2022-06-07,11150.0
2022-06-08,11150.0
2022-06-09,11150.0
2022-06-10,11150.0
2022-06-11,11150.0
2022-06-12,11150.0
2022-06-13,11150.0
2022-06-14,11150.0
2022-06-15,11150.0
2022-06-16,11150.0
2022-06-17,11150.0
2022-06-18,11150.0
2022-06-19,11150.0
2022-06-20,11150.0
2022-06-21,11150.0
2022-06-22,11150.0
2022-06-23,11150.0
2022-06-24,11150.0
2022-06-25,11150.0
2022-06-26,11150.0
2022-06-27,11150.0
2022-06-28,11150.0
2022-06-29,11150.0
2022-06-30,11150.0
2022-07-01,11150.0
2022-07-02,11150.0
2022-07-03,11150.0
2022-07-04,11150.0
2022-07-05,11150.0
2022-07-06,11150.0
2022-07-07,11150.0
2022-07-08,11150.0
2022-07-09,11150.0
2022-07-10,11150.0
2022-07-11,11150.0
2022-07-12,11150.0
2022-07-13,11150.0
2022-07-14,11150.0
2022-07-15,11150.0
2022-07-16,11150.0
2022-07-17,11150.0
2022-07-18,11150.0
2022-07-19,11150.0
2022-07-20,11150.0
2022-07-21,11150.0
2022-07-22,11150.0
2022-07-23,11150.0
2022-07-24,11150.0
2022-07-25,11150.0
2022-07-26,11150.0
2022-07-27,11150.0
2022-07-28,11150.0
2022-07-29,11150.0
2022-07-30,11150.0
2022-07-31,11150.0
2022-08-01,11150.0
2022-08-02,11150.0
2022-08-03,11150.0
2022-08-04,11150.0
2022-08-05,11150.0
2022-08-06,11150.0
2022-08-07,11150.0
2022-08-08,11150.0
2022-08-09,11150.0
2022-08-10,11150.0
2022-08-11,11150.0
2022-08-12,11150.0
2022-08-13,11150.0
2022-08-14,11150.0
2022-08-15,11150.0
2022-08-16,11150.0
2022-08-17,11150.0
2022-08-18,11150.0
2022-08-19,11150.0
2022-08-20,11150.0
2022-08-21,11150.0
2022-08-22,11150.0
2022-08-23,11150.0
2022-08-24,11150.0
2022-08-25,11150.0
2022-08-26,11150.0
2022-08-27,11150.0
2022-08-28,11150.0
2022-08-29,11150.0
2022-08-30,11150.0
2022-08-31,11150.0
2022-09-01,11150.0
2022-09-02,11150.0
2022-09-03,11150.0
2022-09-04,11150.0
2022-09-05,11150.0
2022-09-06,11150.0
2022-09-07,11150.0
2022-09-08,11150.0
2022-09-09,11150.0
2022-09-10,11150.0
2022-09-11,11150.0
2022-09-12,11150.0
2022-09-13,11400.0
2022-09-14,11400.0
