Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2021-05-28,28 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-05-29,,,,,
2021-05-30,,,,,
2021-05-31,31 Mei 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-01,,,,,
2021-06-02,02 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,
2021-06-03,03 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-04,04 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-05,,,,,
2021-06-06,,,,,
2021-06-07,07 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-08,08 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-09,09 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-10,10 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-11,11 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-12,,,,,
2021-06-13,,,,,
2021-06-14,14 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-15,15 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-16,16 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-17,17 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-18,18 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-19,,,,,
2021-06-20,,,,,
2021-06-21,21 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-22,22 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-23,23 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-24,24 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-25,25 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-26,,,,,
2021-06-27,,,,,
2021-06-28,28 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-29,29 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-06-30,30 Jun 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-01,01 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-02,02 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-03,,,,,
2021-07-04,,,,,
2021-07-05,05 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-06,06 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-07,07 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-08,08 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-09,09 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-10,,,,,
2021-07-11,,,,,
2021-07-12,12 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-13,13 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-14,14 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-15,15 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-16,16 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-17,,,,,
2021-07-18,,,,,
2021-07-19,19 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-20,,,,,
2021-07-21,21 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,
2021-07-22,22 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-23,23 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-24,,,,,
2021-07-25,,,,,
